millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
1146,2000,0,0,0,0,0,7.16,*,*,*,*,*,*,*,29.94,97332.17,337.86,23.20,
1650,2000,0,0,0,0,0,7.16,0,99.99,*,*,*,*,*,30.00,97329.50,338.09,23.09,
2151,2000,0,0,0,0,0,7.24,0,99.99,*,*,*,*,*,30.03,97332.11,337.87,23.05,
2655,2000,0,0,0,0,0,7.24,0,99.99,*,*,*,*,*,30.02,97327.40,338.27,22.96,
3160,2000,0,0,0,0,0,7.13,0,99.99,*,*,*,*,*,30.02,97331.42,337.93,21.75,
3664,2000,0,0,0,0,0,7.18,0,99.99,*,*,*,*,*,30.03,97329.96,338.06,22.47,
4165,2000,0,0,0,0,0,7.18,0,99.99,*,*,*,*,*,30.03,97328.61,338.17,22.55,
4667,2000,0,0,0,0,0,7.30,0,99.99,*,*,*,*,*,30.02,97332.24,337.86,22.14,
5168,2000,0,0,0,0,0,7.27,0,99.99,*,*,*,*,*,30.01,97330.17,338.04,21.81,
5669,2000,0,0,0,0,0,7.21,0,99.99,*,*,*,*,*,30.01,97329.24,338.12,22.08,
6170,2000,0,0,0,0,0,7.21,0,99.99,*,*,*,*,*,29.99,97332.30,337.85,21.66,
6672,2000,0,0,0,0,0,7.21,0,99.99,*,*,*,*,*,29.99,97335.39,337.59,22.26,
7173,2000,0,0,0,0,0,7.21,0,99.99,*,*,*,*,*,30.00,97329.89,338.06,22.36,
7675,2000,0,0,0,0,0,7.18,0,99.99,*,*,*,*,*,30.01,97329.24,338.12,22.58,
8179,2000,0,0,0,0,0,7.24,0,99.99,*,*,*,*,*,30.02,97326.87,338.32,22.74,
8682,2000,0,0,17,24,51,7.24,0,99.99,*,*,*,*,*,30.03,97328.49,338.18,23.09,
9183,2000,0,0,17,24,52,7.30,0,99.99,*,*,*,*,*,30.05,97328.24,338.20,23.21,
9687,2000,0,0,17,24,52,7.24,0,99.99,*,*,*,*,*,30.06,97327.61,338.26,23.47,
10188,2021,6,19,17,24,53,7.24,0,99.99,*,*,*,*,*,30.06,97332.05,337.88,23.72,
10692,2021,6,19,17,24,53,7.21,0,99.99,*,*,*,*,*,30.05,97331.77,337.90,23.61,
11194,2021,6,19,17,24,54,7.18,0,99.99,*,*,*,*,*,30.05,97329.08,338.13,23.27,
11698,2021,6,19,17,24,54,7.24,0,99.99,*,*,*,*,*,30.07,97331.11,337.95,23.41,
12199,2021,6,19,17,24,55,7.24,0,99.99,*,*,*,*,*,30.06,97329.36,338.11,22.99,
12703,2021,6,19,17,24,55,7.21,0,99.99,*,*,*,*,*,30.06,97328.96,338.14,22.38,
13204,2021,6,19,17,24,56,7.24,0,99.99,*,*,*,*,*,30.07,97329.64,338.08,21.74,
13708,2021,6,19,17,24,56,7.27,0,99.99,*,*,*,*,*,30.09,97331.67,337.91,21.88,
14210,2021,6,19,17,24,57,7.27,0,99.99,*,*,*,*,*,30.09,97330.24,338.03,22.09,
14713,2021,6,19,17,24,57,7.27,0,99.99,*,*,*,*,*,30.08,97334.47,337.67,22.18,
15214,2021,6,19,17,24,58,7.30,0,99.99,*,*,*,*,*,30.05,97335.78,337.55,21.53,
15715,2021,6,19,17,24,58,7.27,0,99.99,*,*,*,*,*,30.05,97337.22,337.43,21.64,
16219,2021,6,19,17,24,59,7.27,0,99.99,*,*,*,*,*,30.05,97333.20,337.78,21.97,
16722,2021,6,19,17,24,59,7.24,0,99.99,*,*,*,*,*,30.04,97335.07,337.62,20.90,
17224,2021,6,19,17,25,0,7.30,0,99.99,*,*,*,*,*,30.05,97329.99,338.05,21.39,
17727,2021,6,19,17,25,0,7.24,0,99.99,*,*,*,*,*,30.07,97334.20,337.69,21.42,
18229,2021,6,19,17,25,1,7.30,0,99.99,*,*,*,*,*,30.08,97332.60,337.83,21.42,
18733,2021,6,19,17,25,1,7.21,0,99.99,*,*,*,*,*,30.11,97329.98,338.05,22.24,
19237,2021,6,19,17,25,2,7.24,0,99.99,*,*,*,*,*,30.13,97334.19,337.69,22.24,
19741,2021,6,19,17,25,2,7.24,0,99.99,*,*,*,*,*,30.14,97330.45,338.01,22.18,
20242,2021,6,19,17,25,3,7.24,6,2.01,362.40,0.0,0.2,47.59503936,-120.66487884,30.14,97332.60,337.83,22.15,
20747,2021,6,19,17,25,3,7.21,6,2.01,362.40,0.0,0.2,47.59503936,-120.66487884,30.16,97327.92,338.23,22.44,
21250,2021,6,19,17,25,4,7.24,6,2.01,362.60,0.0,0.0,47.59503555,-120.66488647,30.15,97325.77,338.41,22.15,
21753,2021,6,19,17,25,4,7.24,6,2.01,362.60,0.0,0.0,47.59503555,-120.66488647,30.15,97330.72,337.99,21.82,
22256,2021,6,19,17,25,5,7.21,6,2.01,362.90,0.0,0.1,47.59503173,-120.66487884,30.13,97329.64,338.08,22.06,
22760,2021,6,19,17,25,5,7.16,6,2.01,362.90,0.0,0.1,47.59503173,-120.66487884,30.13,97324.80,338.50,21.83,
23264,2021,6,19,17,25,6,7.16,6,2.01,362.30,0.0,0.0,47.59503173,-120.66488647,30.09,97327.55,338.26,21.71,
23769,2021,6,19,17,25,6,7.24,6,2.01,362.30,0.0,0.0,47.59503173,-120.66488647,30.08,97334.07,337.70,21.33,
24270,2021,6,19,17,25,7,7.21,6,2.01,362.00,0.0,0.0,47.59503173,-120.66488647,30.06,97331.64,337.91,21.41,
24775,2021,6,19,17,25,7,7.21,6,2.01,362.00,0.0,0.0,47.59503173,-120.66488647,30.06,97324.00,338.57,21.50,
25280,2021,6,19,17,25,8,7.18,6,2.01,362.10,0.0,0.0,47.59503173,-120.66489410,30.06,97329.89,338.06,20.89,
25785,2021,6,19,17,25,8,7.21,6,2.01,362.10,0.0,0.0,47.59503173,-120.66489410,30.06,97327.61,338.26,21.27,
26288,2021,6,19,17,25,9,7.21,6,2.01,362.20,0.0,0.2,47.59502792,-120.66489410,30.08,97330.46,338.01,21.45,
26792,2021,6,19,17,25,9,7.18,6,2.01,362.20,0.0,0.2,47.59502792,-120.66489410,30.09,97327.55,338.26,20.78,
27293,2021,6,19,17,25,10,7.24,6,2.01,362.10,0.0,0.2,47.59502792,-120.66489410,30.08,97331.27,337.94,21.18,
27794,2021,6,19,17,25,10,7.21,6,2.01,362.10,0.0,0.2,47.59502792,-120.66489410,30.09,97332.51,337.84,21.72,
28295,2021,6,19,17,25,11,7.21,6,2.01,362.30,0.0,0.1,47.59502792,-120.66489410,30.11,97330.92,337.97,21.45,
28801,2021,6,19,17,25,11,7.24,6,2.01,362.30,0.0,0.1,47.59502792,-120.66489410,30.11,97327.71,338.25,21.45,
29304,2021,6,19,17,25,12,7.21,6,2.01,362.10,127.6,6.0,47.59500885,-120.66486358,30.11,97328.11,338.21,21.42,
29807,2021,6,19,17,25,13,7.24,6,2.01,362.10,127.6,0.2,47.59502029,-120.66488647,30.11,97328.64,338.17,21.66,
30310,2021,6,19,17,25,13,7.21,6,2.01,362.70,127.6,0.2,47.59502029,-120.66488647,30.12,97328.92,338.14,22.16,
30814,2021,6,19,17,25,14,7.21,6,2.01,362.70,127.6,0.2,47.59502029,-120.66488647,30.12,97331.60,337.92,22.10,
31316,2021,6,19,17,25,14,7.21,6,2.02,363.10,127.6,0.2,47.59502029,-120.66488647,30.12,97333.35,337.76,22.37,
31820,2021,6,19,17,25,15,7.24,6,2.02,363.10,127.2,0.4,47.59502029,-120.66488647,30.11,97333.60,337.74,22.13,
32324,2021,6,19,17,25,15,7.21,6,2.02,363.10,127.2,0.4,47.59502029,-120.66488647,30.11,97332.14,337.87,22.80,
32827,2021,6,19,17,25,16,7.21,6,2.02,363.10,127.2,0.3,47.59502410,-120.66488647,30.11,97327.71,338.25,22.87,
33330,2021,6,19,17,25,16,7.21,6,2.02,364.10,127.2,0.3,47.59502410,-120.66488647,30.12,97328.92,338.14,23.27,
33833,2021,6,19,17,25,17,7.27,6,2.02,364.10,189.9,0.6,47.59502410,-120.66489410,30.08,97334.47,337.67,22.38,
34336,2021,6,19,17,25,17,7.18,6,2.02,365.70,189.9,0.6,47.59502410,-120.66489410,30.06,97330.30,338.03,21.61,
34839,2021,6,19,17,25,18,7.24,6,2.02,365.70,189.9,0.1,47.59502792,-120.66489410,30.06,97331.64,337.91,21.34,
35342,2021,6,19,17,25,18,7.21,6,2.02,365.30,189.9,0.1,47.59502792,-120.66489410,30.06,97332.98,337.80,21.02,
35846,2021,6,19,17,25,19,7.27,6,2.02,365.30,148.1,0.8,47.59502792,-120.66488647,30.05,97331.33,337.94,21.05,
36349,2021,6,19,17,25,19,7.18,6,2.02,365.20,148.1,0.8,47.59502792,-120.66488647,30.03,97334.39,337.67,20.94,
36852,2021,6,19,17,25,20,7.24,6,2.02,365.20,148.1,0.1,47.59502029,-120.66487121,30.00,97330.30,338.03,20.87,
37355,2021,6,19,17,25,20,7.21,6,2.02,365.30,148.1,0.1,47.59502029,-120.66487121,29.98,97330.67,337.99,21.64,
37860,2021,6,19,17,25,21,7.21,6,2.02,365.30,148.1,0.0,47.59502029,-120.66487884,29.98,97334.30,337.68,21.13,
38362,2021,6,19,17,25,21,7.24,6,2.02,365.90,148.1,0.0,47.59502029,-120.66487884,29.96,97330.89,337.98,20.71,
38865,2021,6,19,17,25,22,7.18,6,2.02,365.90,148.1,0.1,47.59501647,-120.66488647,29.96,97334.51,337.66,20.18,
39367,2021,6,19,17,25,22,7.27,6,1.46,366.10,148.1,0.1,47.59501647,-120.66488647,29.96,97333.17,337.78,20.73,
39872,2021,6,19,17,25,23,7.24,6,1.46,366.10,148.1,0.0,47.59502029,-120.66489410,29.95,97331.14,337.95,20.67,
40375,2021,6,19,17,25,23,7.27,6,1.46,366.20,148.1,0.0,47.59502029,-120.66489410,29.96,97332.24,337.86,20.68,
40879,2021,6,19,17,25,24,7.24,6,1.46,366.20,148.1,0.0,47.59502410,-120.66489410,29.98,97331.61,337.91,20.64,
41380,2021,6,19,17,25,24,7.24,6,1.46,366.40,148.1,0.0,47.59502410,-120.66489410,29.97,97334.39,337.67,20.27,
41885,2021,6,19,17,25,25,7.27,6,1.46,366.40,148.1,0.0,47.59502410,-120.66490173,29.99,97334.98,337.62,20.62,
